source,text,sentiment
news,"Confluent stock soars 29% as IBM announces $11 billion acquisition deal - CNBC <ol><li><a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE41azVMREdFcDJITTk3NTFzNUZEam83VzVpSDRHT0xrNEIySXNVZHlCMUJUdlFibUEzLXc3eWlBN3FHdWpJTnBHWnR3aFdQZ1FXeUl0d1lKTmNPbVZ2ZENrRUdNanc0VXQ2OGdGedIBckFVX3lxTE41dUZ6S2Z3U3htRTk0djJsemlOX1VSNDBNWkZ5X1l1MTZzbTdMc2wwWERHaDBELU9xWXZKMUJjN1dmSGc1WE5iX2VZUU52RXA4S3ZQblFuRmtUV29aLWx2bENMZFQ1LXNNUFNKbGx4R1ZJdw?oc=5"" target=""_blank"">Confluent stock soars 29% as IBM announces $11 billion acquisition deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font></li><li><a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPZ2dlV1hCbGVXY0tvSXlYVHZSRjFLQVJ3QVIxREk5MjZQOTJTU0VmUDFOQWFYQTkyOU9ka0V4cXRrVlA3TjdfUGxrZk5qN2FTUFZ3YlZyUlZ4WEU5cWFiRHUzQkVwT1ZwZ1BNbTFlUTJRdjNfQW1DMGpTVVMtRjhNUy00dG8wYUF2UEhvVHVNc0IyczRnT1E?oc=5"" target=""_blank"">Exclusive | IBM Strikes $11 Billion Deal for Confluent</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font></li><li><a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxOREFfNy1Ba2hKcHZMWDR3NXZremY3VTVwQlIxbjNDS1RzQURQSExTTG8yb2YxeDRnU01sWHJSNllDbzMyYjV2SldPLUZ3ZTQ5ZUp3Q29xQ1c2RkUydE55aEVqdUpFNXUtZjR1U18zWnNvYXc4STh5TW83d0xDdnF3N2c1bUttMHphSW5LUlFiZTVCNmhLdXpETGhYWEtES0FJeU9uVE1CVkV3UUFOa1F1YmpCMEx5bldmQVdmU3ZBLTB4d2lKcnRUYlh3TmhZZkllc3RGUHVB?oc=5"" target=""_blank"">IBM to Acquire Confluent to Create Smart Data Platform for Enterprise Generative AI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font></li><li><a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQSnR5ZXVrRTNIWE02cFl0XzE3MkdxbzBOSXR0VXQ1Ukc0S2tWZTYtdXRTWW5ZTUxyQWpkSTVwVEZqajVEWjdveWhycGxmVVdKQWRKdXk1NWdOT2U2NlRWamc1Y3Z5RS1vQ0x4SmQ5QW15NFlfNGdFTlUxaFRjUjUwb3dZdC1HV25yWWVPRWZ3Wmp1VmExY2dlZzNPOEg5Y193aVdyYkNxdXVlbnBteEt4OQ?oc=5"" target=""_blank"">IBM to Buy Confluent for $9.3 Billion to Expand AI Services</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg.com</font></li><li><a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNbWhDa0lVS2JCNm4zZkt4WjRKSW0zVkpTamZjMkZhMUdzSnFYeHhjVFhqdk9TZUV0ZVNpUUcyTU5BRzJMeWpDSFQ4Q0o2Si1PMkhzLW9yY3p3cUthSy05ajRIRlVkVUZmSmhqdFNLZlhjeHpOc05VcjJSbTM2OTM1Qkx5RVRWbnN3ZEtRN1RUQTNrbjRTNjBsVG5ERUc4NXdvRlYwaHRiUXB3NjRMTWZ4dlVKRlZwMWJVb0Nn0gHCAUFVX3lxTE1DQndfTHZjY1BxWVcwVEVEQl9tdlVyNlBpMGVpY2dSaWVOVUF5YjNPc0g3c2hybG5lZ0Z4YVpJci1VSzAxeTFnRDFnVVE5cE5tYzI3emQwbWs2TUtwbW1vSnhCaGhWaXZaR2dEQzYtQUpleElnNDdXSnpDZW1makdoazl1S3hkdFNLSnhBNWd0cElpVXFlbXVlX2pib2MzVHBreEltTkwwcUNQYXYxM3BiRmsxSWp2aVlGT3VYOGtUMzBB?oc=5"" target=""_blank"">IBM nears roughly $11 billion deal for Confluent: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font></li><li><a href=""https://news.google.com/rss/articles/CBMipgJBVV95cUxQYVBBVUhKUkt3eHhQV25UQWg2M1k5ZVdCNFhreU0zVW5saUJNazhrWC1EbnFBQVhSV3BWODRtS0pFdGhFdjdVeFlacng1UlhXVlBRUURqQjlaQ2FSSGgtQUh0VkpfazZ4T2cydVlxMVAtSUlvdF9Nc0E5UXN0ZDQ4NEFZZ3RBNE9Banpic1l3SWExTE8xVWJJZmMwY3pibjhqNWt6R0xrRnpudVU4T3N2SFp0T3MzT0tWTjBuOGJmekJPbUsxUlBIam9WTjBPcHcwNnEwLUllQlZEVFg2ajVkUHBEYXQwVGJkbFlzT0V2R0ljVzJQSXlFbV9MOUdBNGctZVEzVkRZOE5kSU95b1pGb2U5Tl9TQTliTmV4VjBXNkFIbmtIUUHSAasCQVVfeXFMT3NxcXJKSnE2TWRORmc0LVd3TFZHbFA5V3hTWDFHNEdtTlNBQjd5UW80WGl2c2dncl9fNE9sb2FIakxrVDJ2aVFSTDNmczBTbHRuMHdxelR1RFdyRmZTakQ5SE9iNnY1ZUxleTZtM2RDZ21LdzZINl9XaEdVMXpjUmE5aExvWmt4MUJENWRHSmhqbGJoVjNWd1pxUXVoeW1vak5OTGNmOXNXMlY2eGNHQnYxcERINW0yczMxdEVyY2NfaFNkODZjc2F5c2MzWGtMTmpFMHkzZER2Ym5RSGNITjhRZHBPZTJYZFItcUZZOGNPdXdZaTdOQk9ZZTVKeGVFY2FneURRRTZ0UXBKVlUyVEFUQkt0Sk5xV1FzU0hRTzV3R0dYci01a0F1bG8?oc=5"" target=""_blank"">AI expansion: IBM snaps up Confluent in $11-billion deal; data streaming seen as key to faster AI deploym</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font></li><li><a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE1SUXNzdzdMdUJpalpGVUFxUUtTU2R0MWw1aVdhVC1ISXIweHZLeHZ2bk5va0RHaUY5NVhmanB0MUFpMWxGd2JTendzLXJXT2Ywamt3UUo3bEpRSkpyR3Q3THhnQjkzYVVSV3VGRWViNFBGMnNNdmZfalFkXzUzOGc?oc=5"" target=""_blank"">IBM accelerates cloud drive with $11 billion Confluent deal as AI demand booms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo Finance</font></li><li><a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNYWdIdHM3MFU3NEVIdmF4dFdlOG0wRzhmaS1nZ1dhVGxxaG16OGE5NlJ3UHdtYUsyMy1hSFBqLV9hMDJ1YXVydHpkY0lfMU0wbGJhcFBiRWFjTVFERkN1R1BYUVI0amY4R1N3Zm85dDZ6cHFNOXpYaGZ6YVVEam9zQU91MVdQTmVqZmVvaXUyaDVrc1hBUGp1TXUzNnZaems2cHJ0Qw?oc=5"" target=""_blank"">IBM nears $11 billion Confluent deal to boost cloud push, WSJ reports</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font></li><li><a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE9vUjhOQllYZzZPUTVRRTR6Y3RfcTRuWmdaYVQtcnRfWHJzanl1WmZKSmxPczJWUEhVMkt5aS1yN09EcjlLbGh0V1p3OVdpa1Y3UXNvT0dwbVQ2bTVhV3ZEcENZbWRCR2VkN1VkcXZua20?oc=5"" target=""_blank"">IBM extends AI push with $11bn takeover of Confluent</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Times</font></li></ol>",0.8053
news,"IBM puts $330-mn global media account into review; WPP media not defending - Exchange4Media <a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNRXVxV3Q1TnNVc3dLSTgwYXFKOFl4MVc3SzFxZHRXNzBTSFhuRkh6VEQ5ZXJEdG83X2FJM2w0dHhtajVxSTN1ZTF6dk1LV2kwS2ZZMUhvRURHUjIyS1l4aW1TMkxUbWItZ0k4N1FPaWdvbkdTaG81VGVPeG9IbUtPQnJQZHdtMXU1YWx1eU9LUWNSWTNUOHNiRzdtMDZtWlZFa25JSms3Tzl0cm5kYmVPWmFhWGpGRE12b192YmJuY0U0OTZDdk96UDdzd1o?oc=5"" target=""_blank"">IBM puts $330-mn global media account into review; WPP media not defending</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Exchange4Media</font>",0.0
news,"IBM to Acquire Confluent to Create Smart Data Platform for Enterprise Generative AI - IBM Newsroom <a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxPM0JKZFlCeGxyaTFMT2JSV1NQdXJ1Rm5Udi1RRVpHZzIzbUxMRXJIVEdicDVPUnJsQ2NlclBsS1dTNU1iQ19NaWJUQnFKb2RzQTAtY0c2bFYyTkZldFJxT05KQW1XMGdKc2EwcFlzajJnY3lBajNHdS11elVVUmF0UUZZbjQ2VnpQZjNQYU01dUlWd2RMNmQ0YUdjZllaV1J5c0dlS3Q0LTNkZF9HYVo2LVFSbnRZSHVZSzk4?oc=5"" target=""_blank"">IBM to Acquire Confluent to Create Smart Data Platform for Enterprise Generative AI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBM Newsroom</font>",0.8225
news,"Riyadh Air and IBM Partner to Launch World's First AI-Native Airline - IBM Newsroom <a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPZW8xVGhqNGU5aG9aRUFuS3c2WHRIUG9zZUVTZVpsc3JDTlJIR3pmTExHVlNfaUZRdTF4RE55VXJINVhUVGJDekI1a1ZFYU5HaTJYLWFpUGd0UUVYdm1UcmhBZGpIWmRJOWdBQWxJQjM0X0JjdGJCc3VsbHZQTXJfRTF4N1ozZGI0RDdWQ2RHWEdxS0FPdzFhZm9adUlieEVfcTNXUXpR?oc=5"" target=""_blank"">Riyadh Air and IBM Partner to Launch World's First AI-Native Airline</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBM Newsroom</font>",0.0
news,"IBM Designated as a Critical Third-Party Provider Under EU DORA - IBM Newsroom <a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxOZE41TVdXMkE2X2NfT0hPbDlkOTBNWFdpeDhXcHRkVTlKbFc3M09LMjBUbWI4WDl1ZnF5LTVmNVlEMnluOFRyYWRCYVhnVUNIWTVCeGo0V0JSdWdWN2dGTzBFYU9FR2NKRFV3dEVFVnMwbUhsazU1WkxLVXFReVRMeU9KN09NNXUtUUVHWWZvRHhyeklsd2p4WXRrUnRoRU9W?oc=5"" target=""_blank"">IBM Designated as a Critical Third-Party Provider Under EU DORA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBM Newsroom</font>",-0.5574
news,"IBM begins global review of $330 million media account - Social Samosa <a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxPVXRqZGFfU2JodHg2c2ZwUDlKMS1fYW1xMFBlazdFaFVwbE0xSWhmT2JROVZLOVlxZmFUVGl3SHdzTTFjR3BCMmFhRjltSGZzNHNFdlo2RjRPM3JCNkJRY1ltYzBhOVRURGJFcHVMdWkxQ3AycUhHOWJuTnZ6aVdvcEE1aE1uZVNhVjh4RTVodXFwcTl6Y1JqOGxqT1VqX1ItOUhFd2s3LUfSAagBQVVfeXFMT1V0amRhX1NiaHR4NnNmcFA5SjEtX2FtcTBQZWs3RWhVcGxNMUloZk9iUTlWSzlZcWZhVFRpd0h3c00xY0dwQjJhYUY5bUhmczRzRXZaNkY0TzNyQjZCUWNZbWMwYTlUVERiRXB1THVpMUNwMnFIRzlibk52emlXb3BBNWhNbmVTYVY4eEU1aHVxcHE5emNSajhsak9Val9SLTlIRXdrNy1H?oc=5"" target=""_blank"">IBM begins global review of $330 million media account</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Social Samosa</font>",0.0
news,"Myntra–Meesho–Nykaa boost creator commerce | IBM starts $330M media review | EU opens probe into Google’s alleged misuse - Storyboard18 <a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxPTjdOYXBIaHBjanZzT2xYZnpUenpmMEk4emh5RXhOZDJBQ0FxX3JOcnF6dlFHV3ByR1RXQ3RzaUNvNUVObzlqUUx1Wm8yY3ZuSWlwQ2FHalNOV25QVFVNZ21ickM2OEpjc2gtcVdGQVlfMmNpaGJKd0RjOVFKdmVnam5JNndGWFFTZlNuYk9OUlhxS3MwNUFlUW8xLVVfMXNCcVgzTklpQUxHN0F1Q214MmhTei1HTjluaS10M0tzdDR3dnpjaHBWSUVvRmw3UGRTZzRPX1lyLW5wZnVEUk8tNnowZ3hxMWJKVXY1cEh4RE10RnM3NkxWbDlsdEtrb3PSAYQCQVVfeXFMUHlJUExLMEdOUVN3R1g5RFBEdGMzQ0JXa3NOWkR4LTlCOVp3UkJ2UVRKYWxtX0pmZGduUW9Icmw2M2R4RjVoYVVGWUNZTWc1bzR1b0xPZXhCaFJBdGVGMDVHWUVkeGFaVHc5NVNmcXZvcnYyei01ZWZXWF9FRUk5c3JlOG5kVEhrd2ltd2FwdExOcExuMXVzemllUWVUZ3RRczdtUGlyWVdySHkyaFFyWFU0WmZkcjdQQXljaHZxTVZjQ05DMU5DeXVRcjJiZk9IeVhxNlJhdlZRY2JLWk5GdVFydHBBcGE3VGgydXVER291SWVoVVVPbGJod0p6YmExVl80djY?oc=5"" target=""_blank"">Myntra–Meesho–Nykaa boost creator commerce | IBM starts $330M media review | EU opens probe into Google’s alleged misuse</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Storyboard18</font>",0.6597
news,"IBM calls for global agency review of $330 million media business - Storyboard18 <a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNTHFPeWMxOXpUNklmVzNGSmJVS1R4VzIxc0FDYzNJdTBzTlA0bnlZV09WWm1GTFN5S2p5a1JpM0dwSGE4MVRaTnhsb19HRHBpZWpYVTgzZWZGaUNQQ2gtOHBzNWNHMkR1RjBQdi1wS25KY3hQMjRJTTl6eHVqYnc2LWNJZWN0a0k3LTdEczRLeXl3X1p3b01zeXhodldtSS1BYVZuaTFmeVhQMDVTODRHaHBYR3Bmd9IBuwFBVV95cUxNeDF5MEM5aVlGRTh3TnNlSGlqOWpGLXZ2d2pYRE1JR3NsemRGNFh4eDB6aThUblJvZXlEaU9qTzRaRi10UFJfS2JrNVprb28xUGs0WElkZFhtYjVmTW8wNkZUbWYyVDF5RjQwbUJLaHVKQks2R19jRVI2WTRXb2VfM05UUFlKVW1LYWdKNjJaM0d6cmNETlhVZXJ5MllzaS1tdzMzbVBFb0l1Wkl1Uk5IeDBjUkhzekNtemw4?oc=5"" target=""_blank"">IBM calls for global agency review of $330 million media business</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Storyboard18</font>",0.0
news,"IBM Stock: What's Next For Tech Giant After Biggest Acquisition In Six Years - Investor's Business Daily <a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPcXRyV2UxdU5ManNRcjhIcVVzck43M0dNTC1fc1JwUFQ3OWFUTTd1WGl3a3ZvVU5sYzlNeVVqSGZlODVPeTFESEdUdnJSdVFZdUI0eXY1Z3dCN0g1cW1jRjBHazhGTkpxQ2NXUU01WFJNdm93Xy1QZ2tGMUVRZ2NwNzRhUWJya29BNjE5bg?oc=5"" target=""_blank"">IBM Stock: What's Next For Tech Giant After Biggest Acquisition In Six Years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investor's Business Daily</font>",0.0
news,"IBM reportedly in talks to acquire data infrastructure company Confluent for $11 billion - The Times of India <a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxPZWVrdUJKYUIyRGg0TUlmNXRpTUpaRm80b3BZdzR1TG1FOVpBX2UtUzFQYW9TbHNiYWZqQUpCOV9GTkpyWk5SMXE3MHk1azNwazcxbVI2TXQyc3psSV9BZk8zaDdmSXM4b1FqaHlVU2trbkhIemEtakFjR1RsbmZOWnFzT3ZwLVhsWUxrUjFKR0kwRkZXWmhKRHVQSjRjNEMwU2lsNDRaNjZ6OW02S1lOUTNmRGJ5WWVuZEp5UzBHLUtGUlJSSVdyY0hEYTFqV1JPSy0zbkljbzJCeml6ZVN6U0xVeUtzRVZ0czVGam5XMm1zc1RpYmZjVDZ0NGxtdE3SAYQCQVVfeXFMTTFRN2N1UmhmN0U1YWd5WUZyQU9YcmRpM2RTaDVsY0wwbGJEUXhSMzhiZm9GelVTektTVVNvMlRWYk1hZ3pGeWVkUmJQRmVMR3RXR3VBMjRHc1owTHNsNHlLS25XYnZoWGw3TFFPNjJDckY3eHlyb3BPNXpXZjRCUUpsRWdMUlRmZG9FYTR5akR5NGJ4bjl4ajBiMG5rSHhBOS1NYTJuTGdsbFZnY1UxdVo3LXh2cy1jM0tYVlFZdXNPM2NZX0pxTE5nVjlCTlFHT1d6YWNLZENzSDhzVmRCLWR3UzhTNDBnd25VZUgwZ1NOZ1BLVEZjMDRWMktTTllqSFhCN3U?oc=5"" target=""_blank"">IBM reportedly in talks to acquire data infrastructure company Confluent for $11 billion</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",0.0
