Company,Symbol,Statement,Section,Metric,Year,Value,Unit,Source
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Borrowings,2021,297,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Borrowings,2022,358,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Borrowings,2023,245,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Borrowings,2024,289,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Borrowings,2025,62,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,CWIP,2021,3168,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,CWIP,2022,2766,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,CWIP,2023,1670,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,CWIP,2024,1541,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,CWIP,2025,963,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Equity Capital,2021,196,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Equity Capital,2022,196,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Equity Capital,2023,197,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Equity Capital,2024,197,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Equity Capital,2025,375,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Fixed Assets,2021,9544,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Fixed Assets,2022,11638,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Fixed Assets,2023,11774,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Fixed Assets,2024,11701,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Fixed Assets,2025,12290,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Investments,2021,3434,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Investments,2022,1662,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Investments,2023,22822,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Investments,2024,41980,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Investments,2025,29330,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Assets,2021,50682,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Assets,2022,57252,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Assets,2023,52025,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Assets,2024,47111,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Assets,2025,71318,INR Crores,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Liabilities,2021,17337,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Liabilities,2022,22325,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Liabilities,2023,16974,Number,Screener.in
Tata Consultancy Services Ltd,TCS,Balance Sheet,Summary,Other Liabilities,2024,15830,Number,Screener.in
