source,text,sentiment
youtube,He wants everyone should be in his puppet then people will servive in Tcs all micro management and cheap politics and qurket bull sheet people are there from long time,0.0
youtube,"I am ex- TCS employee , yes there is no rumor , the layoffs have become common in TCS and will continue till all employees will realize when their turn too comes on getting layoff . don't every join such a worst company which doesn't follow ethics as the RMG's and HR lack minimum  common sense while speaking to employees who are either newly onboarded to TCS or else if the  employee looses his/her project and comes to bench due to scenarios of either client leaving project or due to short term work in project. Its absolutely the duty of RMG or HR to take care of properly aligning the resources to the right projects and as per needs of the employee who is in bench....unfortunately ,it never happened at TCS and never going to help any TCS employee . i suffered a lot and its one of the company which has given me a painful experience.",-0.9108
youtube,"they just give excuse, no reson they give. I was alredy a part of a project and working fine",-0.0258
youtube,Tcs 4 tn dollars  contract provides  silent service,0.0
youtube,I have seen a lot of ceo but this guy looks like a thug 😂,0.7964
youtube,Worst ceo,-0.6249
youtube,My home my dream my everything lost for joining tcs in this person 's era,-0.0772
youtube,Worst CEO which any IT company cant have like this.  This guy should be kicked out .,-0.7359
youtube,Titanic is half sunk .....,0.0
youtube,Nothing to say . Missing Rata tata,-0.296
youtube,"If a company decides to layoff the people for any reason other than the disciplinary ones, then it proves the TOP Management's incompetence in many areas including capacity management and then the Top management's entitlements must become questionable if the reason for layoffs is based on the company's current financial position.",-0.2885
youtube,"what a waste of airtime, throwing softballs questions, and lip service to TCS. this is NDTV matchfixing.",-0.4215
youtube,Is he competent for this post..... English to bolna aata nahin dhang se... sirf jhooth bolane ke liye rakha hai isko,0.3182
youtube,"Dude, please quit or atleast show that you're sorry by taking a pay cut. What a lousy CEO.",-0.6124
